Open time,Open,High,Low,Close,Volume
1728633600000,0.40000000,1.94000000,0.28000000,1.20600000,21051343.70000000
1728648000000,1.20600000,1.20800000,1.01200000,1.14300000,10658235.00000000
1728662400000,1.14500000,1.16900000,1.10000000,1.12100000,2788094.30000000
1728676800000,1.12100000,1.15000000,1.08400000,1.13000000,1424555.30000000
1728691200000,1.13000000,1.13100000,1.05000000,1.05400000,1830849.90000000
1728705600000,1.05500000,1.18000000,1.05300000,1.17600000,2824457.40000000
1728720000000,1.18000000,1.20000000,1.13500000,1.15400000,3014395.10000000
1728734400000,1.15400000,1.19900000,1.14100000,1.17400000,1795090.30000000
1728748800000,1.17400000,1.19000000,1.16000000,1.17500000,768671.10000000
1728763200000,1.17500000,1.18000000,1.15500000,1.15800000,386593.40000000
1728777600000,1.15800000,1.18000000,1.14100000,1.16400000,612397.60000000
1728792000000,1.16400000,1.17500000,1.14700000,1.15600000,616569.20000000
1728806400000,1.15600000,1.17400000,1.14700000,1.16500000,748689.20000000
1728820800000,1.16400000,1.17900000,1.15000000,1.15800000,676924.50000000
1728835200000,1.15800000,1.16900000,1.14200000,1.14200000,372276.00000000
1728849600000,1.14200000,1.16800000,1.12100000,1.16000000,383532.10000000
1728864000000,1.15600000,1.16500000,1.13500000,1.14100000,479316.20000000
1728878400000,1.14100000,1.17000000,1.13900000,1.16500000,570608.40000000
1728892800000,1.16900000,1.18000000,1.16000000,1.16800000,605603.20000000
1728907200000,1.16800000,1.17000000,1.15000000,1.15700000,765037.30000000
1728921600000,1.15700000,1.17000000,1.15200000,1.16200000,410363.50000000
1728936000000,1.16400000,1.16700000,1.15200000,1.15900000,242111.80000000
1728950400000,1.15800000,1.23500000,1.15300000,1.22600000,830112.70000000
1728964800000,1.22900000,1.35000000,1.21200000,1.34800000,2204485.90000000
1728979200000,1.34800000,1.36000000,1.20300000,1.20300000,2361555.00000000
1728993600000,1.20300000,1.28400000,1.20200000,1.26300000,1442152.50000000
1729008000000,1.26300000,1.34300000,1.23000000,1.31900000,868287.40000000
1729022400000,1.31900000,1.36900000,1.25200000,1.26500000,1105752.60000000
1729036800000,1.27000000,1.38500000,1.26600000,1.35500000,1263984.40000000
1729051200000,1.35500000,1.40000000,1.31100000,1.33800000,1867568.30000000
1729065600000,1.33800000,1.39000000,1.31100000,1.38900000,870688.20000000
1729080000000,1.38900000,1.44600000,1.36600000,1.36700000,1870244.30000000
1729094400000,1.36700000,1.40000000,1.35400000,1.39700000,568464.10000000
1729108800000,1.39500000,1.39700000,1.35700000,1.39400000,362196.40000000
1729123200000,1.39000000,1.43000000,1.38000000,1.38000000,572538.50000000
1729137600000,1.38000000,1.38700000,1.32600000,1.32600000,719885.90000000
1729152000000,1.32600000,1.38800000,1.32100000,1.35200000,689598.30000000
1729166400000,1.35200000,1.36400000,1.33000000,1.33900000,525677.10000000
1729180800000,1.33900000,1.34600000,1.26300000,1.29500000,661192.90000000
1729195200000,1.29700000,1.33900000,1.27000000,1.31500000,281405.90000000
1729209600000,1.31900000,1.38000000,1.25000000,1.29100000,1330789.00000000
1729224000000,1.29100000,1.30000000,1.25000000,1.25500000,837294.30000000
1729238400000,1.25400000,1.27500000,1.22000000,1.25300000,982048.70000000
1729252800000,1.25300000,1.32000000,1.24900000,1.27500000,698417.80000000
1729267200000,1.27500000,1.31000000,1.27000000,1.27600000,337161.40000000
1729281600000,1.27600000,1.30200000,1.24700000,1.25400000,237598.80000000
1729296000000,1.25500000,1.30000000,1.25100000,1.29900000,319205.20000000
1729310400000,1.30000000,1.31500000,1.27600000,1.30300000,536921.30000000
1729324800000,1.30300000,1.31800000,1.29100000,1.30400000,338704.20000000
1729339200000,1.30100000,1.35000000,1.29700000,1.32400000,493256.10000000
1729353600000,1.32100000,1.32500000,1.30000000,1.30800000,183892.80000000
1729368000000,1.30800000,1.32500000,1.30000000,1.30600000,146815.10000000
1729382400000,1.30700000,1.34800000,1.30000000,1.34300000,219521.50000000
1729396800000,1.34300000,1.34900000,1.31700000,1.33200000,282913.60000000
1729411200000,1.33200000,1.34400000,1.30000000,1.32900000,298565.40000000
1729425600000,1.32900000,1.34900000,1.27000000,1.34500000,536329.10000000
1729440000000,1.34500000,1.37900000,1.32300000,1.35800000,341619.20000000
1729454400000,1.35800000,1.38000000,1.33100000,1.34900000,237689.90000000
1729468800000,1.35000000,1.40000000,1.35000000,1.39700000,379952.80000000
1729483200000,1.40000000,1.40000000,1.35800000,1.38800000,572538.60000000
1729497600000,1.38800000,1.44000000,1.38300000,1.39700000,425430.50000000
1729584000000,0.80000000,1.45000000,0.80000000,1.21700000,55866571.60000000
