Open time,Open,High,Low,Close,Volume
1714525200000,125.17000000,127.57000000,124.51000000,126.94000000,237618.07900000
1714528800000,126.93000000,127.04000000,123.77000000,125.13000000,230357.82500000
1714532400000,125.13000000,126.66000000,124.76000000,126.23000000,141648.91500000
1714536000000,126.23000000,126.90000000,125.66000000,125.97000000,114017.81200000
1714539600000,125.99000000,126.69000000,124.64000000,125.17000000,124675.86500000
1714543200000,125.17000000,125.40000000,122.56000000,122.89000000,378611.37400000
1714546800000,122.88000000,123.45000000,118.47000000,120.58000000,947257.64300000
1714550400000,120.57000000,121.26000000,118.89000000,121.24000000,521911.35000000
1714554000000,121.24000000,122.57000000,118.60000000,120.83000000,325270.92900000
1714557600000,120.84000000,121.92000000,120.36000000,121.71000000,190638.80400000
1714561200000,121.71000000,123.09000000,121.33000000,123.06000000,173891.37400000
1714564800000,123.06000000,125.03000000,122.48000000,123.86000000,332019.52200000
1714568400000,123.86000000,124.10000000,122.34000000,123.48000000,180697.51800000
1714572000000,123.48000000,124.08000000,122.00000000,123.52000000,203170.90400000
1714575600000,123.52000000,123.58000000,121.41000000,123.40000000,231791.11100000
1714579200000,123.40000000,126.72000000,122.64000000,124.55000000,307581.36700000
1714582800000,124.55000000,127.95000000,123.79000000,126.85000000,284896.81800000
1714586400000,126.85000000,135.97000000,126.42000000,133.96000000,971011.27400000
1714590000000,133.96000000,135.23000000,128.51000000,129.73000000,888114.26500000
1714593600000,129.74000000,133.22000000,128.81000000,131.79000000,331589.99800000
1714597200000,131.79000000,134.83000000,130.94000000,133.41000000,300224.59000000
1714600800000,133.41000000,134.56000000,133.34000000,133.38000000,181995.07300000
1714604400000,133.38000000,135.21000000,132.94000000,134.64000000,189179.62400000
1714608000000,134.64000000,134.98000000,131.25000000,131.48000000,268094.67500000
1714611600000,131.49000000,132.07000000,129.11000000,129.69000000,233715.13100000
1714615200000,129.68000000,130.56000000,128.66000000,129.58000000,259168.76000000
1714618800000,129.58000000,131.00000000,129.42000000,130.06000000,245333.03300000
1714622400000,130.06000000,131.12000000,129.11000000,129.60000000,233354.87400000
1714626000000,129.60000000,129.80000000,128.19000000,129.60000000,188054.28700000
