Open time,Open,High,Low,Close,Volume
1714536000000,3.54200000,3.55500000,3.32300000,3.34500000,187388.00000000
1714550400000,3.34600000,3.40900000,3.25100000,3.40900000,182345.50000000
1714564800000,3.40700000,3.44200000,3.37300000,3.41300000,148191.30000000
1714579200000,3.41000000,3.56800000,3.36200000,3.48200000,243597.80000000
1714593600000,3.48700000,3.64700000,3.46900000,3.61900000,125438.30000000
1714608000000,3.61900000,3.63800000,3.49800000,3.53500000,68342.30000000
1714622400000,3.53500000,3.56700000,3.50000000,3.52300000,46464.40000000
1714636800000,3.52000000,3.62400000,3.51400000,3.60700000,141222.40000000
1714651200000,3.60100000,3.67600000,3.54000000,3.65100000,210307.60000000
1714665600000,3.65500000,4.02700000,3.62100000,3.82100000,985550.50000000
1714680000000,3.81900000,3.85500000,3.65900000,3.66700000,377416.90000000
1714694400000,3.66900000,3.80200000,3.65600000,3.77800000,120190.60000000
1714708800000,3.77800000,3.82000000,3.70200000,3.70600000,127431.80000000
1714723200000,3.70600000,3.79600000,3.68500000,3.72200000,174685.20000000
1714737600000,3.71900000,3.83600000,3.71000000,3.82900000,213755.50000000
1714752000000,3.83000000,3.91600000,3.82300000,3.89400000,152350.90000000
1714766400000,3.89200000,3.94200000,3.87900000,3.90200000,109340.20000000
1714780800000,3.90200000,3.91300000,3.81500000,3.84700000,128109.80000000
1714795200000,3.84600000,3.88200000,3.82700000,3.84800000,84792.90000000
1714809600000,3.84900000,3.91900000,3.84900000,3.87900000,132394.30000000
1714824000000,3.87800000,3.90500000,3.83900000,3.87300000,101308.40000000
1714838400000,3.87300000,3.91300000,3.85700000,3.90100000,77048.80000000
1714852800000,3.90300000,3.91100000,3.82500000,3.84100000,61400.20000000
1714867200000,3.84200000,3.84900000,3.72200000,3.76500000,94336.60000000
1714881600000,3.76200000,3.78900000,3.73400000,3.78100000,81123.90000000
1714896000000,3.78100000,3.80900000,3.76600000,3.78800000,62327.80000000
1714910400000,3.78600000,3.94200000,3.74600000,3.92900000,157213.30000000
1714924800000,3.92800000,3.99800000,3.87000000,3.88100000,174375.40000000
1714939200000,3.88300000,3.91200000,3.84700000,3.91100000,74699.50000000
1714953600000,3.90900000,3.95600000,3.85600000,3.87700000,74711.10000000
1714968000000,3.87700000,3.93800000,3.85600000,3.93400000,108847.40000000
1714982400000,3.93300000,4.02200000,3.89800000,3.95400000,157171.00000000
1714996800000,3.95400000,3.96100000,3.79300000,3.87000000,156002.90000000
1715011200000,3.86100000,3.89300000,3.77500000,3.81400000,114296.70000000
1715025600000,3.81300000,3.83300000,3.77100000,3.77900000,46074.80000000
1715040000000,3.77700000,3.84100000,3.73700000,3.79600000,189254.40000000
1715054400000,3.79600000,3.81300000,3.77500000,3.80100000,92787.40000000
1715068800000,3.80000000,3.86600000,3.76800000,3.77400000,147133.60000000
1715083200000,3.77200000,3.86500000,3.74800000,3.84500000,79962.00000000
1715097600000,3.84500000,3.87400000,3.76000000,3.77300000,80537.20000000
1715112000000,3.77200000,3.79000000,3.64500000,3.65000000,84415.60000000
1715126400000,3.65000000,3.66800000,3.55400000,3.62000000,119945.90000000
1715140800000,3.62000000,3.62400000,3.56100000,3.58700000,64780.40000000
1715155200000,3.58700000,3.67400000,3.57400000,3.62100000,64774.60000000
1715169600000,3.62300000,3.78400000,3.61000000,3.72000000,130427.70000000
1715184000000,3.71900000,3.90200000,3.68200000,3.83400000,238193.10000000
1715198400000,3.83100000,3.89700000,3.69400000,3.83900000,454411.80000000
1715212800000,3.83700000,4.31800000,3.58000000,3.88300000,2493921.10000000
1715227200000,3.88500000,3.93900000,3.70700000,3.79600000,647988.30000000
1715241600000,3.79500000,3.83000000,3.63700000,3.70500000,322475.70000000
1715256000000,3.70600000,3.84900000,3.68700000,3.81600000,267104.80000000
1715270400000,3.81200000,3.84000000,3.73900000,3.76600000,170049.00000000
1715284800000,3.76400000,3.80800000,3.73600000,3.76400000,96735.50000000
1715299200000,3.76400000,3.76900000,3.71300000,3.72900000,132397.00000000
1715313600000,3.73000000,3.78700000,3.72700000,3.76200000,128781.40000000
1715328000000,3.76300000,3.80400000,3.75600000,3.78300000,80677.60000000
1715342400000,3.78300000,3.79400000,3.61400000,3.64800000,169515.90000000
1715356800000,3.64600000,3.65200000,3.55500000,3.56800000,123354.10000000
1715371200000,3.56500000,3.60400000,3.51900000,3.59600000,72472.90000000
1715385600000,3.59600000,3.70700000,3.58700000,3.68900000,64038.90000000
1715400000000,3.68900000,3.69400000,3.64000000,3.66300000,33789.20000000
1715414400000,3.66300000,3.67100000,3.58100000,3.61800000,43797.20000000
1715428800000,3.61800000,3.68300000,3.60600000,3.65600000,46097.80000000
1715443200000,3.65800000,3.66800000,3.62300000,3.63700000,33757.10000000
1715457600000,3.63600000,3.63600000,3.56000000,3.58100000,72590.10000000
1715472000000,3.58000000,3.59800000,3.55300000,3.57900000,39978.00000000
1715486400000,3.58000000,3.60500000,3.55100000,3.55900000,27627.90000000
1715500800000,3.55600000,3.61500000,3.54500000,3.59400000,92612.50000000
1715515200000,3.59400000,3.67800000,3.58900000,3.65200000,83729.70000000
1715529600000,3.65300000,3.68200000,3.58900000,3.61000000,25442.30000000
1715544000000,3.60800000,3.60800000,3.49300000,3.55500000,132031.20000000
1715558400000,3.55500000,3.58500000,3.30900000,3.37400000,204700.60000000
1715572800000,3.37500000,3.49600000,3.33500000,3.48900000,89464.40000000
1715587200000,3.48900000,3.62800000,3.48900000,3.56700000,117044.40000000
1715601600000,3.56200000,3.57800000,3.50300000,3.53400000,85269.20000000
1715616000000,3.53400000,3.58400000,3.45800000,3.48600000,63646.10000000
1715630400000,3.48900000,3.51100000,3.46100000,3.49000000,25733.70000000
1715644800000,3.49100000,3.51400000,3.42400000,3.44300000,69071.30000000
1715659200000,3.44200000,3.50600000,3.37100000,3.46200000,111172.00000000
1715673600000,3.46100000,3.47200000,3.42700000,3.46400000,52759.20000000
1715688000000,3.46500000,3.49700000,3.39000000,3.43300000,110635.30000000
1715702400000,3.42900000,3.43800000,3.35500000,3.41200000,46354.90000000
1715716800000,3.40900000,3.41400000,3.36100000,3.37900000,38045.60000000
1715731200000,3.37500000,3.45500000,3.35100000,3.44600000,44631.80000000
1715745600000,3.44100000,3.44800000,3.41400000,3.43500000,33967.10000000
1715760000000,3.43800000,3.48200000,3.37900000,3.42100000,93606.20000000
1715774400000,3.41600000,3.62400000,3.39300000,3.59000000,175286.90000000
1715788800000,3.59100000,3.64400000,3.56800000,3.64200000,70268.00000000
1715803200000,3.64200000,3.65200000,3.59600000,3.61200000,41341.20000000
1715817600000,3.61100000,3.66100000,3.60700000,3.64600000,76804.40000000
1715832000000,3.64600000,3.67800000,3.62600000,3.67400000,38566.00000000
1715846400000,3.67500000,3.69400000,3.62400000,3.64700000,45601.70000000
1715860800000,3.64700000,3.64700000,3.48700000,3.57300000,119239.70000000
1715875200000,3.57400000,3.63200000,3.55000000,3.60700000,51314.20000000
1715889600000,3.60800000,3.64300000,3.58200000,3.63200000,31922.00000000
1715904000000,3.63600000,3.65800000,3.59800000,3.63500000,30714.00000000
1715918400000,3.63500000,3.72800000,3.60500000,3.71200000,32474.40000000
1715932800000,3.71400000,3.75100000,3.67100000,3.68700000,52453.00000000
1715947200000,3.68700000,3.78600000,3.67700000,3.77700000,57339.60000000
1715961600000,3.77600000,3.82300000,3.72900000,3.77600000,71886.50000000
1715976000000,3.77400000,3.78900000,3.76000000,3.76600000,13705.60000000
1715990400000,3.76300000,3.80000000,3.74600000,3.79400000,22619.50000000
1716004800000,3.79500000,3.80000000,3.76700000,3.77500000,26071.60000000
1716019200000,3.77500000,3.80000000,3.76100000,3.76700000,31177.30000000
