Open time,Open,High,Low,Close,Volume
1714525200000,60173.23000000,60389.56000000,59888.88000000,60229.65000000,1.24766000
1714528800000,60232.17000000,60232.17000000,59681.83000000,59924.31000000,0.22807000
1714532400000,60033.59000000,60384.70000000,59925.44000000,60229.57000000,0.07391000
1714536000000,60192.57000000,60424.39000000,60192.57000000,60389.67000000,1.48190000
1714539600000,60251.09000000,60442.50000000,60000.58000000,60000.58000000,0.16734000
1714543200000,60000.01000000,60119.63000000,59486.85000000,59715.03000000,2.64527000
1714546800000,59518.18000000,59672.76000000,57051.10000000,57517.82000000,5.61412000
1714550400000,57457.71000000,57660.58000000,56620.24000000,57222.71000000,2.88860000
1714554000000,57110.82000000,57621.28000000,57076.15000000,57149.14000000,4.45098000
1714557600000,57141.39000000,57710.59000000,56808.23000000,57710.59000000,3.80754000
1714561200000,57710.60000000,57851.08000000,57445.47000000,57849.42000000,2.23227000
1714564800000,57816.19000000,58290.36000000,57738.10000000,57956.80000000,1.28170000
1714568400000,57956.80000000,57962.46000000,57216.44000000,57216.44000000,1.73297000
1714572000000,57330.25000000,57590.28000000,56990.80000000,57441.54000000,35.60055000
1714575600000,57509.84000000,57513.22000000,56714.83000000,56895.16000000,7.06062000
1714579200000,56892.61000000,57409.64000000,56753.50000000,57096.85000000,11.10003000
1714582800000,57096.57000000,57661.79000000,56610.31000000,57419.76000000,5.64960000
1714586400000,57514.85000000,59510.97000000,57337.98000000,58855.43000000,6.86958000
1714590000000,58888.08000000,59347.81000000,57022.01000000,57053.22000000,2.27204000
1714593600000,57162.89000000,57640.68000000,56824.77000000,57416.40000000,0.49834000
1714597200000,57387.94000000,58142.85000000,57298.80000000,57993.82000000,0.28173000
1714600800000,57998.34000000,58194.62000000,57861.75000000,57969.85000000,0.30849000
1714604400000,58031.24000000,58580.28000000,57814.26000000,58412.44000000,0.75702000
1714608000000,58300.10000000,58618.36000000,57606.61000000,57847.88000000,0.64834000
1714611600000,57871.95000000,57981.68000000,56834.96000000,57157.17000000,1.18578000
1714615200000,57206.14000000,57549.26000000,57185.80000000,57450.71000000,1.39829000
1714618800000,57508.66000000,57710.60000000,57387.57000000,57559.28000000,0.33667000
1714622400000,57559.28000000,57653.31000000,57301.43000000,57445.49000000,0.31307000
1714626000000,57468.65000000,57746.37000000,57228.90000000,57587.20000000,1.38363000
1714629600000,57497.81000000,57738.62000000,57445.44000000,57603.20000000,1.47695000
1714633200000,57603.20000000,57906.24000000,57578.56000000,57605.35000000,5.19239000
1714636800000,57648.26000000,57944.03000000,57564.97000000,57774.59000000,2.46437000
1714640400000,57822.69000000,57871.60000000,57588.64000000,57729.32000000,0.76774000
1714644000000,57777.63000000,57887.99000000,57500.68000000,57859.66000000,1.18831000
1714647600000,57867.30000000,58708.32000000,57782.99000000,58520.97000000,3.32721000
1714651200000,58520.97000000,59224.94000000,58459.98000000,58482.51000000,5.61839000
1714654800000,58677.85000000,58948.70000000,58366.52000000,58503.03000000,1.16742000
1714658400000,58577.48000000,59309.03000000,58403.06000000,59234.29000000,1.63309000
1714662000000,59217.43000000,59486.80000000,58992.49000000,59206.86000000,0.82497000
1714665600000,59218.97000000,59375.95000000,58965.30000000,59011.11000000,0.66609000
1714669200000,59011.11000000,59319.12000000,58987.40000000,59319.10000000,0.60313000
1714672800000,59319.10000000,59499.33000000,59038.66000000,59403.23000000,0.17555000
1714676400000,59372.96000000,59444.35000000,59083.56000000,59361.10000000,0.20063000
1714680000000,59496.21000000,59524.36000000,58739.42000000,58883.17000000,2.45747000
1714683600000,58783.91000000,59662.11000000,58783.90000000,59159.75000000,4.75481000
1714687200000,59237.83000000,59481.99000000,59196.00000000,59382.65000000,0.38345000
1714690800000,59459.36000000,59522.29000000,59081.95000000,59189.96000000,0.07908000
1714694400000,59186.92000000,59237.98000000,58821.37000000,59107.37000000,0.20161000
1714698000000,59107.37000000,59593.24000000,59025.37000000,59423.78000000,1.37529000
1714701600000,59423.78000000,59892.58000000,59255.48000000,59517.41000000,0.27805000
1714705200000,59623.76000000,59954.25000000,59492.68000000,59766.33000000,0.25071000
1714708800000,59778.03000000,59949.61000000,59505.90000000,59666.61000000,0.45075000
1714712400000,59666.61000000,59855.41000000,59444.21000000,59613.19000000,0.76330000
1714716000000,59611.23000000,59616.71000000,59241.57000000,59241.57000000,0.26576000
1714719600000,59241.57000000,59550.00000000,59051.81000000,59200.79000000,0.22851000
1714723200000,59200.79000000,59436.38000000,59142.61000000,59280.87000000,0.11908000
1714726800000,59178.79000000,59550.00000000,59175.77000000,59448.55000000,0.50070000
1714730400000,59539.31000000,59539.31000000,58829.19000000,59144.87000000,0.14567000
1714734000000,58965.61000000,59486.83000000,58868.18000000,59393.50000000,0.11213000
1714737600000,59252.23000000,60779.10000000,59004.93000000,60679.52000000,2.43802000
1714741200000,60766.03000000,61841.78000000,60596.16000000,61743.18000000,8.33300000
1714744800000,61701.48000000,62183.93000000,61303.16000000,61602.52000000,0.35505000
1714748400000,61757.52000000,61765.86000000,61300.00000000,61765.86000000,2.67454000
1714752000000,61765.86000000,62069.49000000,61516.81000000,61609.66000000,2.89421000
1714755600000,61609.66000000,61848.32000000,61479.59000000,61753.54000000,1.13466000
1714759200000,61726.61000000,61880.82000000,61605.79000000,61751.76000000,0.48495000
1714762800000,61728.62000000,62577.30000000,61537.94000000,62048.81000000,2.86308000
1714766400000,62040.67000000,63095.86000000,61925.84000000,62821.59000000,2.60206000
1714770000000,62843.93000000,62882.34000000,62335.66000000,62642.39000000,0.54971000
1714773600000,62628.91000000,62921.80000000,62552.88000000,62761.79000000,0.17454000
1714777200000,62740.54000000,63253.52000000,62735.65000000,62873.83000000,0.52186000
1714780800000,62736.53000000,63054.67000000,62655.60000000,62958.89000000,0.55601000
1714784400000,62925.00000000,63511.89000000,62724.45000000,62758.86000000,0.10055000
1714788000000,62741.96000000,62803.62000000,62501.41000000,62543.89000000,0.92468000
1714791600000,62543.88000000,62757.91000000,62543.88000000,62649.22000000,0.14924000
1714795200000,62648.37000000,63054.67000000,62570.68000000,63001.63000000,0.20341000
1714798800000,63000.56000000,63403.89000000,62832.45000000,63261.38000000,0.49498000
1714802400000,63230.44000000,63230.46000000,62849.36000000,62990.35000000,0.14430000
1714806000000,62990.35000000,63031.34000000,62836.45000000,62852.51000000,0.33666000
1714809600000,62853.28000000,63125.93000000,62841.50000000,63082.02000000,0.28316000
1714813200000,63139.36000000,63223.17000000,62884.44000000,63091.10000000,0.59958000
1714816800000,63088.86000000,64389.12000000,62996.39000000,64389.12000000,3.05072000
1714820400000,64310.42000000,64470.60000000,63642.73000000,63702.40000000,2.42637000
1714824000000,63780.83000000,64017.23000000,63635.50000000,64017.19000000,0.44951000
1714827600000,63971.62000000,64064.80000000,63311.13000000,63597.73000000,0.26239000
1714831200000,63681.54000000,63807.56000000,63530.75000000,63727.16000000,0.07952000
1714834800000,63729.12000000,63792.17000000,63378.14000000,63488.61000000,0.62197000
1714838400000,63488.77000000,63640.01000000,63319.89000000,63560.00000000,0.23588000
1714842000000,63640.03000000,63677.10000000,63288.12000000,63442.12000000,0.23097000
1714845600000,63368.60000000,63632.06000000,63330.25000000,63632.06000000,0.04268000
1714849200000,63631.04000000,63921.33000000,63450.20000000,63848.75000000,0.34206000
1714852800000,63848.78000000,64095.41000000,63746.18000000,63836.41000000,0.11148000
1714856400000,63834.39000000,64076.84000000,63504.31000000,63794.60000000,0.24570000
1714860000000,63795.40000000,63851.56000000,63544.32000000,63545.06000000,0.13576000
1714863600000,63614.60000000,63840.41000000,63546.59000000,63754.73000000,0.09049000
1714867200000,63753.48000000,64076.02000000,63367.69000000,63385.05000000,0.26942000
1714870800000,63385.21000000,63486.04000000,62803.96000000,63202.02000000,1.84504000
1714874400000,63267.26000000,63411.00000000,63017.83000000,63092.81000000,0.21863000
1714878000000,63092.91000000,63219.93000000,62957.62000000,63155.01000000,0.09027000
1714881600000,63167.17000000,63330.89000000,63167.17000000,63321.58000000,0.04671000
1714885200000,63265.26000000,63403.40000000,63058.44000000,63058.88000000,0.03392000
1714888800000,63071.28000000,63368.94000000,63071.28000000,63332.99000000,1.06133000
1714892400000,63274.64000000,63898.86000000,63263.65000000,63762.65000000,1.57838000
1714896000000,63682.45000000,63873.20000000,63547.38000000,63628.25000000,0.70521000
1714899600000,63610.49000000,63662.62000000,63505.56000000,63657.85000000,0.10258000
1714903200000,63658.44000000,63737.73000000,63452.92000000,63598.29000000,1.05605000
1714906800000,63555.99000000,63855.29000000,63540.80000000,63768.34000000,1.08205000
1714910400000,63826.03000000,63826.38000000,63585.95000000,63637.88000000,0.11757000
1714914000000,63612.97000000,64159.45000000,63545.16000000,64060.69000000,1.19465000
1714917600000,64061.67000000,64068.34000000,63729.00000000,63953.80000000,0.94519000
1714921200000,63990.30000000,64457.09000000,63882.29000000,64355.32000000,6.71979000
1714924800000,64383.99000000,64425.49000000,64165.46000000,64222.86000000,0.75410000
1714928400000,64225.93000000,64402.18000000,64095.84000000,64189.86000000,0.08486000
1714932000000,64139.22000000,64187.96000000,63799.86000000,63868.77000000,0.19381000
1714935600000,63932.41000000,63971.38000000,63823.39000000,63825.13000000,0.04408000
1714939200000,63825.13000000,63864.25000000,63496.91000000,63711.03000000,0.17540000
1714942800000,63727.55000000,63867.87000000,63515.26000000,63867.87000000,0.19694000
1714946400000,63862.26000000,63862.26000000,63669.49000000,63826.58000000,0.18308000
1714950000000,63832.44000000,64150.55000000,63674.90000000,63968.24000000,0.20521000
1714953600000,63965.41000000,64225.89000000,63908.86000000,64131.55000000,0.42317000
1714957200000,64164.19000000,64400.26000000,64025.16000000,64025.51000000,0.50944000
1714960800000,64085.01000000,64112.15000000,63747.59000000,63747.59000000,0.20908000
1714964400000,63747.59000000,64022.20000000,63661.10000000,63715.18000000,0.60541000
1714968000000,63808.82000000,64084.92000000,63705.60000000,64023.54000000,0.50880000
1714971600000,64023.82000000,64262.02000000,63984.14000000,64154.23000000,0.20661000
1714975200000,64154.07000000,64384.34000000,64086.84000000,64248.94000000,0.64982000
1714978800000,64172.86000000,64457.06000000,64035.81000000,64402.40000000,3.31376000
1714982400000,64456.76000000,65425.20000000,64403.48000000,65054.48000000,4.05224000
1714986000000,65054.61000000,65253.09000000,65017.16000000,65088.53000000,0.19174000
1714989600000,65021.00000000,65211.18000000,63781.78000000,63966.32000000,1.52612000
1714993200000,63967.03000000,64344.97000000,63967.03000000,64180.10000000,2.37531000
1714996800000,64093.37000000,64241.88000000,63274.15000000,63418.02000000,0.70660000
1715000400000,63383.43000000,63864.73000000,63344.17000000,63777.32000000,0.32603000
1715004000000,63777.30000000,64107.13000000,63158.34000000,63248.79000000,0.42373000
1715007600000,63158.40000000,63670.53000000,62883.09000000,63670.19000000,1.13171000
1715011200000,63670.21000000,63670.73000000,63023.01000000,63043.59000000,1.40985000
1715014800000,63134.83000000,63438.67000000,62909.71000000,63145.80000000,0.29336000
1715018400000,63075.48000000,63391.04000000,62840.21000000,63314.35000000,1.15867000
1715022000000,63354.64000000,63354.64000000,62700.00000000,63160.70000000,0.25239000
1715025600000,63122.20000000,63309.08000000,62970.22000000,63224.11000000,0.73777000
1715029200000,63224.99000000,63520.73000000,63224.99000000,63435.74000000,0.16192000
1715032800000,63472.21000000,63478.63000000,63313.90000000,63334.67000000,0.06568000
1715036400000,63398.55000000,63425.13000000,63018.32000000,63019.21000000,0.14608000
1715040000000,63019.34000000,63569.58000000,62920.96000000,63469.09000000,0.40988000
1715043600000,63469.09000000,63835.73000000,63357.37000000,63835.73000000,0.24558000
1715047200000,63835.71000000,63876.44000000,63555.45000000,63637.82000000,0.84704000
1715050800000,63580.35000000,63630.53000000,62724.92000000,63117.98000000,3.16278000
1715054400000,63118.31000000,63460.28000000,63003.44000000,63421.91000000,1.25039000
1715058000000,63458.20000000,63722.87000000,63156.48000000,63447.90000000,0.68381000
1715061600000,63476.25000000,63617.97000000,63239.75000000,63512.20000000,0.38693000
1715065200000,63512.20000000,63778.84000000,63433.24000000,63579.79000000,0.63123000
1715068800000,63578.27000000,64316.27000000,63458.38000000,64121.20000000,2.45133000
1715072400000,64122.52000000,64278.11000000,63965.54000000,63965.54000000,6.01480000
1715076000000,63965.54000000,64090.09000000,63429.29000000,63967.62000000,3.09507000
1715079600000,64026.84000000,64045.55000000,63313.70000000,63378.83000000,1.11602000
1715083200000,63323.28000000,63679.35000000,63323.28000000,63550.22000000,3.26082000
1715086800000,63597.69000000,63629.33000000,63046.61000000,63084.19000000,2.91243000
1715090400000,63084.45000000,63944.73000000,62978.56000000,63944.73000000,5.61753000
1715094000000,63971.84000000,64261.07000000,63558.13000000,63603.38000000,2.79578000
1715097600000,63603.65000000,63777.00000000,63387.41000000,63496.74000000,4.12271000
1715101200000,63491.39000000,63539.46000000,63233.80000000,63295.82000000,0.52355000
1715104800000,63255.03000000,63314.67000000,62755.10000000,63124.42000000,0.83937000
1715108400000,63081.21000000,63196.88000000,62915.30000000,62983.97000000,41.14065000
1715112000000,62986.04000000,63113.79000000,62830.71000000,62863.70000000,0.22592000
1715115600000,62892.28000000,63035.08000000,62720.90000000,62954.57000000,0.21284000
1715119200000,62954.86000000,63010.53000000,62663.35000000,62729.85000000,0.10254000
1715122800000,62729.97000000,62814.68000000,62134.65000000,62161.34000000,0.37320000
1715126400000,62161.35000000,62589.35000000,62100.01000000,62484.46000000,1.37126000
1715130000000,62498.73000000,62596.45000000,62326.92000000,62455.50000000,2.06045000
