Open time,Open,High,Low,Close,Volume
1714536000000,5.75000000,5.79000000,5.46000000,5.51000000,45869.84000000
1714550400000,5.51000000,5.58000000,5.38000000,5.58000000,62866.21000000
1714564800000,5.58000000,5.63000000,5.44000000,5.46000000,46701.79000000
1714579200000,5.46000000,5.81000000,5.44000000,5.61000000,111167.65000000
1714593600000,5.61000000,5.95000000,5.57000000,5.90000000,49211.51000000
1714608000000,5.90000000,5.90000000,5.64000000,5.78000000,25949.08000000
1714622400000,5.79000000,5.80000000,5.57000000,5.65000000,52714.10000000
1714636800000,5.65000000,5.83000000,5.62000000,5.82000000,38523.84000000
1714651200000,5.82000000,5.93000000,5.71000000,5.90000000,52672.49000000
1714665600000,5.90000000,5.95000000,5.86000000,5.91000000,46205.42000000
1714680000000,5.91000000,5.98000000,5.88000000,5.91000000,30794.84000000
1714694400000,5.91000000,6.03000000,5.88000000,5.96000000,36948.25000000
1714708800000,5.95000000,5.98000000,5.87000000,5.91000000,34272.04000000
1714723200000,5.91000000,5.95000000,5.83000000,5.85000000,25563.79000000
1714737600000,5.86000000,6.09000000,5.84000000,6.07000000,70222.53000000
1714752000000,6.07000000,6.18000000,6.07000000,6.16000000,41294.37000000
1714766400000,6.16000000,6.24000000,6.15000000,6.18000000,40936.09000000
1714780800000,6.19000000,6.30000000,6.15000000,6.20000000,41905.85000000
1714795200000,6.20000000,6.25000000,6.14000000,6.15000000,37089.92000000
1714809600000,6.14000000,6.35000000,6.14000000,6.24000000,70009.73000000
1714824000000,6.24000000,6.33000000,6.23000000,6.32000000,69908.85000000
1714838400000,6.32000000,6.35000000,6.27000000,6.33000000,58569.55000000
1714852800000,6.34000000,6.35000000,6.23000000,6.28000000,48331.06000000
1714867200000,6.28000000,6.30000000,6.07000000,6.13000000,57323.27000000
1714881600000,6.13000000,6.18000000,6.06000000,6.15000000,47241.40000000
1714896000000,6.15000000,6.20000000,6.12000000,6.16000000,47770.91000000
1714910400000,6.16000000,6.30000000,6.12000000,6.28000000,68035.74000000
1714924800000,6.29000000,6.33000000,6.22000000,6.23000000,55637.74000000
1714939200000,6.23000000,6.26000000,6.15000000,6.18000000,47951.52000000
1714953600000,6.19000000,6.28000000,6.18000000,6.20000000,32510.76000000
1714968000000,6.21000000,6.26000000,6.18000000,6.25000000,32181.65000000
1714982400000,6.26000000,6.36000000,6.19000000,6.23000000,76364.37000000
1714996800000,6.23000000,6.26000000,5.96000000,6.11000000,102212.83000000
1715011200000,6.11000000,6.12000000,5.98000000,6.02000000,73921.89000000
1715025600000,6.02000000,6.06000000,5.95000000,5.96000000,41079.30000000
1715040000000,5.95000000,6.05000000,5.92000000,5.94000000,51635.94000000
1715054400000,5.94000000,5.98000000,5.92000000,5.96000000,39984.45000000
1715068800000,5.96000000,6.11000000,5.95000000,6.03000000,64769.84000000
1715083200000,6.02000000,6.11000000,5.98000000,6.03000000,42532.78000000
1715097600000,6.03000000,6.08000000,6.00000000,6.01000000,42919.82000000
1715112000000,6.01000000,6.05000000,5.82000000,5.84000000,41344.99000000
1715126400000,5.84000000,5.88000000,5.77000000,5.87000000,36862.89000000
1715140800000,5.87000000,5.90000000,5.77000000,5.79000000,31385.15000000
1715155200000,5.79000000,5.82000000,5.72000000,5.74000000,37943.86000000
