Open time,Open,High,Low,Close,Volume
1714525200000,8.20000000,8.27000000,8.14000000,8.25000000,10038.86000000
1714528800000,8.25000000,8.25000000,8.12000000,8.22000000,9283.39000000
1714532400000,8.22000000,8.29000000,8.19000000,8.28000000,3147.92000000
1714536000000,8.28000000,8.30000000,8.26000000,8.29000000,4054.29000000
1714539600000,8.30000000,8.31000000,8.22000000,8.24000000,6097.08000000
1714543200000,8.24000000,8.25000000,8.10000000,8.12000000,5376.19000000
1714546800000,8.12000000,8.13000000,7.94000000,8.01000000,42364.60000000
1714550400000,8.01000000,8.01000000,7.81000000,7.98000000,42014.07000000
1714554000000,7.97000000,8.03000000,7.95000000,8.01000000,13589.34000000
1714557600000,8.01000000,8.06000000,7.96000000,8.06000000,15491.39000000
1714561200000,8.06000000,8.10000000,8.02000000,8.10000000,15762.50000000
1714564800000,8.10000000,8.22000000,8.08000000,8.20000000,20713.35000000
1714568400000,8.20000000,8.21000000,8.12000000,8.13000000,13338.52000000
1714572000000,8.13000000,8.17000000,8.10000000,8.15000000,12427.72000000
1714575600000,8.15000000,8.16000000,8.02000000,8.08000000,17214.11000000
1714579200000,8.07000000,8.15000000,8.04000000,8.07000000,8388.44000000
1714582800000,8.06000000,8.21000000,8.03000000,8.17000000,12151.09000000
1714586400000,8.17000000,8.48000000,8.17000000,8.39000000,37732.43000000
1714590000000,8.40000000,8.45000000,8.21000000,8.27000000,28269.86000000
1714593600000,8.27000000,8.33000000,8.20000000,8.30000000,13122.08000000
1714597200000,8.29000000,8.38000000,8.27000000,8.38000000,5668.94000000
1714600800000,8.37000000,8.42000000,8.36000000,8.40000000,5141.80000000
1714604400000,8.40000000,8.46000000,8.39000000,8.43000000,8275.06000000
1714608000000,8.42000000,8.45000000,8.27000000,8.28000000,8798.91000000
1714611600000,8.28000000,8.32000000,8.11000000,8.24000000,15479.60000000
1714615200000,8.24000000,8.31000000,8.22000000,8.27000000,6244.92000000
1714618800000,8.27000000,8.34000000,8.27000000,8.32000000,3040.07000000
1714622400000,8.31000000,8.35000000,8.27000000,8.29000000,4275.90000000
1714626000000,8.29000000,8.32000000,8.24000000,8.28000000,3345.70000000
1714629600000,8.28000000,8.29000000,8.24000000,8.25000000,1347.31000000
1714633200000,8.26000000,8.32000000,8.26000000,8.26000000,1862.86000000
1714636800000,8.26000000,8.34000000,8.24000000,8.32000000,3906.33000000
1714640400000,8.33000000,8.35000000,8.30000000,8.35000000,2164.64000000
1714644000000,8.35000000,8.40000000,8.32000000,8.40000000,5737.73000000
1714647600000,8.39000000,8.55000000,8.39000000,8.51000000,17388.21000000
1714651200000,8.51000000,8.55000000,8.47000000,8.47000000,10803.94000000
1714654800000,8.48000000,8.50000000,8.40000000,8.43000000,7136.13000000
1714658400000,8.42000000,8.55000000,8.40000000,8.53000000,11129.94000000
1714662000000,8.53000000,8.64000000,8.53000000,8.59000000,14056.64000000
1714665600000,8.59000000,8.60000000,8.53000000,8.55000000,10593.61000000
1714669200000,8.55000000,8.64000000,8.55000000,8.64000000,6169.10000000
1714672800000,8.63000000,8.70000000,8.58000000,8.64000000,6364.15000000
1714676400000,8.63000000,8.66000000,8.60000000,8.66000000,4023.28000000
1714680000000,8.66000000,8.69000000,8.59000000,8.65000000,6215.41000000
1714683600000,8.65000000,8.76000000,8.65000000,8.72000000,6343.80000000
1714687200000,8.72000000,8.81000000,8.72000000,8.76000000,9619.03000000
1714690800000,8.77000000,8.79000000,8.68000000,8.68000000,2581.61000000
1714694400000,8.68000000,8.72000000,8.62000000,8.65000000,4393.59000000
1714698000000,8.66000000,8.84000000,8.66000000,8.78000000,5433.36000000
1714701600000,8.77000000,8.85000000,8.74000000,8.76000000,6097.70000000
1714705200000,8.77000000,8.81000000,8.73000000,8.75000000,10380.85000000
1714708800000,8.75000000,8.77000000,8.67000000,8.71000000,3558.21000000
1714712400000,8.71000000,8.74000000,8.68000000,8.70000000,3845.94000000
1714716000000,8.70000000,8.72000000,8.64000000,8.65000000,5962.44000000
