Open time,Open,High,Low,Close,Volume
1735776000000,5.24400000,5.49800000,5.22700000,5.41300000,2676826.46000000
1735862400000,5.41500000,5.82600000,5.30600000,5.78500000,2329532.92000000
1735948800000,5.78500000,5.89700000,5.60200000,5.75900000,2118426.15000000
1736035200000,5.76000000,5.84900000,5.55400000,5.78400000,1894138.60000000
1736121600000,5.78400000,6.08400000,5.66300000,5.89400000,2434684.33000000
1736208000000,5.89500000,5.94200000,5.16400000,5.21600000,3298725.21000000
1736294400000,5.21600000,5.31200000,4.58200000,4.88700000,4066176.33000000
1736380800000,4.88000000,4.95100000,4.50700000,4.58900000,3973964.14000000
1736467200000,4.58800000,4.84600000,4.52300000,4.67600000,3807042.98000000
1736553600000,4.67600000,4.79300000,4.56900000,4.68800000,1365471.46000000
1736640000000,4.69300000,4.72000000,4.48900000,4.58000000,1237305.75000000
1736726400000,4.58100000,4.71800000,3.88700000,4.29500000,7300287.91000000
1736812800000,4.29500000,4.49700000,4.24800000,4.43100000,2560685.19000000
1736899200000,4.43300000,4.76600000,4.23200000,4.76300000,3074827.65000000
1736985600000,4.76200000,4.79600000,4.45100000,4.61900000,4474691.06000000
1737072000000,4.62000000,5.11800000,4.61100000,5.04900000,3432490.38000000
1737158400000,5.05000000,5.18200000,4.49200000,4.59800000,3924222.34000000
1737244800000,4.59800000,4.79000000,4.07600000,4.17100000,8198391.24000000
1737331200000,4.17100000,4.62400000,3.98300000,4.10700000,8961597.53000000
1737417600000,4.10700000,4.34500000,3.92300000,4.25700000,4568610.43000000
1737504000000,4.24900000,4.29200000,3.97200000,4.00500000,2584513.74000000
1737590400000,4.00500000,4.15500000,3.84600000,4.03600000,3922942.73000000
1737676800000,4.03700000,4.16600000,3.78300000,3.80500000,3621654.43000000
1737763200000,3.80500000,3.97400000,3.72500000,3.89800000,2060120.10000000
1737849600000,3.90100000,3.98900000,3.73300000,3.74000000,1853144.55000000
1737936000000,3.73900000,3.89900000,3.42000000,3.81400000,6425900.00000000
1738022400000,3.81600000,3.85600000,3.36400000,3.40600000,3269535.89000000
